measure,location,sex,age,rei,metric,year,val,upper,lower
Summary exposure value,Uruguay,Both,All ages,Diet high in sugar-sweetened beverages,Rate,1995,48.07141813113953,63.382260106666735,33.9947534954859
Summary exposure value,Uruguay,Both,Age-standardized,Diet high in sugar-sweetened beverages,Rate,1995,49.49395482012979,65.26334314705312,34.78521900323145
Summary exposure value,Uruguay,Both,All ages,Diet high in sodium,Rate,1995,33.03658627492217,57.23404220021203,8.478847126081797
Summary exposure value,Uruguay,Both,Age-standardized,Diet high in sodium,Rate,1995,33.25169309584504,57.399896602371946,8.751014430761181
Summary exposure value,Uruguay,Both,All ages,Low physical activity,Rate,1995,2.676815073125714,5.355833806390664,1.1618055683485977
Summary exposure value,Uruguay,Both,Age-standardized,Low physical activity,Rate,1995,2.584424203082678,5.286193707898922,1.1013356543988544
Summary exposure value,Uruguay,Both,All ages,Non-exclusive breastfeeding,Rate,1995,18.961488288391983,25.80349207044492,13.769806740057918
Summary exposure value,Uruguay,Both,Age-standardized,Non-exclusive breastfeeding,Rate,1995,18.959910165967784,25.80134450328987,13.768660709721967
Summary exposure value,Uruguay,Both,All ages,Discontinued breastfeeding,Rate,1995,17.22698180755085,18.850463849775103,15.6449325370793
Summary exposure value,Uruguay,Both,Age-standardized,Discontinued breastfeeding,Rate,1995,17.22934607771722,18.859126320122073,15.642711593659536
Summary exposure value,Chile,Both,All ages,High fasting plasma glucose,Rate,1993,6.75342438020171,7.787932886468845,5.869344577182532
Summary exposure value,Chile,Both,Age-standardized,High fasting plasma glucose,Rate,1993,7.784156479781519,8.904229625248382,6.777079977138542
Summary exposure value,Chile,Both,All ages,High systolic blood pressure,Rate,1993,24.09237741910421,26.833125478712,21.58681059866599
Summary exposure value,Chile,Both,Age-standardized,High systolic blood pressure,Rate,1993,27.21932352453272,30.029170677441126,24.637699213928375
Summary exposure value,Chile,Both,All ages,High body-mass index,Rate,1993,20.052590088713192,27.7566442732887,14.188122510350249
Summary exposure value,Chile,Both,Age-standardized,High body-mass index,Rate,1993,20.69342567869681,28.8639930414639,14.454243400924874
Summary exposure value,Chile,Both,All ages,Diet high in sugar-sweetened beverages,Rate,1993,40.59651577363593,54.436368738899056,28.290095425034412
Summary exposure value,Chile,Both,Age-standardized,Diet high in sugar-sweetened beverages,Rate,1993,38.945334399019735,52.75920528144721,26.85916930438985
Summary exposure value,Chile,Both,All ages,Diet high in sodium,Rate,1993,33.791403205156364,57.61435310564107,8.955775278218848
Summary exposure value,Chile,Both,Age-standardized,Diet high in sodium,Rate,1993,33.42090361598957,57.30393879275179,8.670075361386406
Summary exposure value,Chile,Both,All ages,Low physical activity,Rate,1993,2.9004735698779,5.815767098886125,1.2375308738612913
Summary exposure value,Chile,Both,Age-standardized,Low physical activity,Rate,1993,2.9869596175134427,5.945366797757782,1.328086242825236
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Child underweight,Rate,1997,4.15647809821748,5.23677802411319,2.93874161196891
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Child underweight,Rate,1997,4.15823048897268,5.24168894297386,2.9393085647438997
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Smoking,Rate,1997,4.72645726823954,5.75194821289921,3.84788533089882
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Smoking,Rate,1997,5.25435091389176,6.35709245352966,4.30151975530575
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Alcohol use,Rate,1997,5.19620599473224,7.89752680844473,3.31262651456429
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Alcohol use,Rate,1997,5.85283704238182,9.00694043203818,3.7058327489482297
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,High fasting plasma glucose,Rate,1997,5.96394054783132,6.796713149018239,5.23697154529133
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High fasting plasma glucose,Rate,1997,7.398659383516771,8.383680697408941,6.52640310392308
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,High systolic blood pressure,Rate,1997,10.2619204573956,13.0831739026804,7.82976519369569
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High systolic blood pressure,Rate,1997,12.166088883869698,15.117612082525596,9.38120163856362
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,High body-mass index,Rate,1997,18.899200765646,24.9458211978348,14.399476606202402
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High body-mass index,Rate,1997,19.5381007759975,26.0682699752823,14.5769182669827
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Diet high in sugar-sweetened beverages,Rate,1997,28.279977606135603,42.55530127548429,16.5980835200423
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Diet high in sugar-sweetened beverages,Rate,1997,27.258309103016398,41.391475891729705,16.3742728147262
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Diet high in sodium,Rate,1997,37.237328995211996,62.2011943106015,7.42959234681179
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Diet high in sodium,Rate,1997,37.0229436492201,61.7678742797259,7.327960245865819
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Low physical activity,Rate,1997,2.02134893719031,4.45930554634639,0.7410368089300721
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Low physical activity,Rate,1997,2.18747802554941,4.68954103153258,0.897597882218824
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Non-exclusive breastfeeding,Rate,1997,16.537115023757597,23.931420516379603,10.8069731943224
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Non-exclusive breastfeeding,Rate,1997,16.529664500459003,23.920638611200303,10.8021042915267
Summary exposure value,Bolivia (Plurinational State of),Both,All ages,Discontinued breastfeeding,Rate,1997,11.2570538765804,11.738816907050499,10.834353697918901
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,Discontinued breastfeeding,Rate,1997,11.274356361563601,11.757107065988198,10.850914294138999
Summary exposure value,Uruguay,Both,All ages,Diet high in sugar-sweetened beverages,Rate,1999,50.965542765438364,65.71307466818087,37.46151170496622
