measure,location,sex,age,cause,rei,metric,year,val,upper,lower
DALYs (Disability-Adjusted Life Years),Argentina,Male,<5 years,All causes,High fasting plasma glucose,Number,1990,396.10486395273665,493.87833447878904,289.6409081455348
DALYs (Disability-Adjusted Life Years),Argentina,Female,<5 years,All causes,High fasting plasma glucose,Number,1990,395.58258917995926,548.3795878938062,273.27987364602313
DALYs (Disability-Adjusted Life Years),Argentina,Both,<5 years,All causes,High fasting plasma glucose,Number,1990,791.6874531326957,1006.6691759317496,600.8944908591445
DALYs (Disability-Adjusted Life Years),Argentina,Male,5-9 years,All causes,High fasting plasma glucose,Number,1990,302.8844254926845,431.19907162537345,199.89404679937118
DALYs (Disability-Adjusted Life Years),Argentina,Female,5-9 years,All causes,High fasting plasma glucose,Number,1990,280.8927994001717,399.59098895318516,190.70954769236587
DALYs (Disability-Adjusted Life Years),Argentina,Both,5-9 years,All causes,High fasting plasma glucose,Number,1990,583.7772248928571,803.4875909439633,399.07248436670704
DALYs (Disability-Adjusted Life Years),Argentina,Male,10-14 years,All causes,High fasting plasma glucose,Number,1990,375.75885919040815,527.1667988105547,259.12518978299175
DALYs (Disability-Adjusted Life Years),Argentina,Female,10-14 years,All causes,High fasting plasma glucose,Number,1990,391.9904239931958,540.9608722272628,256.2023498221961
DALYs (Disability-Adjusted Life Years),Argentina,Both,10-14 years,All causes,High fasting plasma glucose,Number,1990,767.7492831836037,1031.7401888875645,555.0404310036356
DALYs (Disability-Adjusted Life Years),Argentina,Male,15-19 years,All causes,High fasting plasma glucose,Number,1990,490.67761238753263,638.6447180578361,370.1871296711618
DALYs (Disability-Adjusted Life Years),Argentina,Female,15-19 years,All causes,High fasting plasma glucose,Number,1990,773.3620371207315,954.1350754694587,633.3349019610712
DALYs (Disability-Adjusted Life Years),Argentina,Both,15-19 years,All causes,High fasting plasma glucose,Number,1990,1264.0396495082655,1534.777518643742,1039.1770678441874
DALYs (Disability-Adjusted Life Years),Brazil,Male,<5 years,All causes,High fasting plasma glucose,Number,1990,7237.080879995307,10024.94971323517,4127.247055439057
DALYs (Disability-Adjusted Life Years),Brazil,Female,<5 years,All causes,High fasting plasma glucose,Number,1990,7837.034093629718,10625.541645050376,4748.049324482053
