measure,location,sex,age,cause,rei,metric,year_start,year_end,val,upper,lower
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,Stroke,High fasting plasma glucose,Number,1990,2019,0.8040018071400209,1.3871580325216752,0.37325688016954367
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,Stroke,High fasting plasma glucose,Percent,1990,2019,1.4033300076416046,2.1280746451027714,0.8299549828632139
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,Stroke,High fasting plasma glucose,Rate,1990,2019,0.6482216953940337,1.1810209080522143,0.2546726806404398
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Stroke,High fasting plasma glucose,Percent,1990,2019,1.3888402083271696,2.0886514335434714,0.8589457125129717
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Stroke,High fasting plasma glucose,Rate,1990,2019,0.24744256057111616,0.6349221373950567,-0.04234137036745279
DALYs (Disability-Adjusted Life Years),Guyana,Both,All ages,Tuberculosis,High fasting plasma glucose,Number,1990,2019,0.13793552965529904,0.585305977934328,-0.17619275124765152
DALYs (Disability-Adjusted Life Years),Guyana,Both,All ages,Tuberculosis,High fasting plasma glucose,Percent,1990,2019,1.010569414804318,1.2644908343943422,0.7893495530554043
DALYs (Disability-Adjusted Life Years),Guyana,Both,All ages,Tuberculosis,High fasting plasma glucose,Rate,1990,2019,0.136989814404638,0.5839884621338056,-0.17687740082440412
DALYs (Disability-Adjusted Life Years),Guyana,Both,Age-standardized,Tuberculosis,High fasting plasma glucose,Percent,1990,2019,0.517983661131724,0.7383159489575127,0.3381039228013442
DALYs (Disability-Adjusted Life Years),Guyana,Both,Age-standardized,Tuberculosis,High fasting plasma glucose,Rate,1990,2019,-0.29205271122884396,-0.018439390931191065,-0.48543107748501946
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,All causes,High fasting plasma glucose,Number,1990,2019,2.4780530837801336,3.3199009716938774,1.8217566801746676
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,All causes,High fasting plasma glucose,Percent,1990,2019,1.2544896722265415,1.4876208137176448,1.0719852012381585
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,All ages,All causes,High fasting plasma glucose,Rate,1990,2019,1.3332269741562917,1.8979745938453039,0.8929552373403185
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,All causes,High fasting plasma glucose,Percent,1990,2019,0.3246694797816958,0.4639942287025126,0.21017650607036958
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2019,0.1503039290369364,0.4331313206458177,-0.07053331667596678
DALYs (Disability-Adjusted Life Years),Suriname,Both,All ages,Tuberculosis,High fasting plasma glucose,Number,1990,2019,0.30386464058496654,0.6607108267858144,0.03477724726182623
DALYs (Disability-Adjusted Life Years),Suriname,Both,All ages,Tuberculosis,High fasting plasma glucose,Percent,1990,2019,1.1612391104263269,1.4294482833079225,0.9165444684096881
DALYs (Disability-Adjusted Life Years),Suriname,Both,All ages,Tuberculosis,High fasting plasma glucose,Rate,1990,2019,-0.12468410237545005,0.1148753810753485,-0.3053289836726542
DALYs (Disability-Adjusted Life Years),Suriname,Both,Age-standardized,Tuberculosis,High fasting plasma glucose,Percent,1990,2019,0.7089868900788364,0.9070656042632239,0.5197416101351812
DALYs (Disability-Adjusted Life Years),Suriname,Both,Age-standardized,Tuberculosis,High fasting plasma glucose,Rate,1990,2019,-0.3999028560616553,-0.24402286642032925,-0.5235109463377579
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,Peripheral artery disease,High fasting plasma glucose,Number,1990,2019,1.2486113235102625,1.6775296648778781,0.9559714926754602
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,1.1232027847228172,1.3216213459341528,0.9461494802964098
DALYs (Disability-Adjusted Life Years),Uruguay,Both,All ages,Peripheral artery disease,High fasting plasma glucose,Rate,1990,2019,1.0544380572400707,1.446318216670335,0.7870684148099195
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,1.2050306062318947,1.4077113842372926,1.0337570505304714
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Rate,1990,2019,0.5969637819145438,0.8852376223943844,0.3954744816373555
DALYs (Disability-Adjusted Life Years),Colombia,Both,All ages,Alzheimer's disease and other dementias,High fasting plasma glucose,Number,1990,2019,3.553800600521101,4.466690804735681,2.8206347045897413
DALYs (Disability-Adjusted Life Years),Colombia,Both,All ages,Alzheimer's disease and other dementias,High fasting plasma glucose,Percent,1990,2019,0.04736677676881643,0.1453794017722079,-0.048223593534112305
DALYs (Disability-Adjusted Life Years),Colombia,Both,All ages,Alzheimer's disease and other dementias,High fasting plasma glucose,Rate,1990,2019,2.102241993952999,2.724141496328836,1.6027783084696856
DALYs (Disability-Adjusted Life Years),Colombia,Both,Age-standardized,Alzheimer's disease and other dementias,High fasting plasma glucose,Percent,1990,2019,0.023166109905050795,0.11352639714463708,-0.06894727669069235
DALYs (Disability-Adjusted Life Years),Colombia,Both,Age-standardized,Alzheimer's disease and other dementias,High fasting plasma glucose,Rate,1990,2019,0.034172018629886794,0.2370649885511068,-0.1261187917003474
DALYs (Disability-Adjusted Life Years),Colombia,Both,All ages,Diabetes mellitus,High fasting plasma glucose,Number,1990,2019,1.581594411218365,1.8612164191068672,1.2838324677259
