measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Peru,Male,Age-standardized,Tuberculosis,High fasting plasma glucose,Percent,2019,0.07521148000295565,0.11415062214549636,0.04383483796717792
Deaths,Peru,Female,Age-standardized,Tuberculosis,High fasting plasma glucose,Percent,2019,0.07338923533810256,0.11132066375685208,0.041101417473068766
Deaths,Peru,Both,Age-standardized,Tuberculosis,High fasting plasma glucose,Percent,2019,0.07439588916061857,0.1135270351327244,0.04284311221635005
Deaths,Peru,Male,Age-standardized,Tuberculosis,High fasting plasma glucose,Rate,2019,0.5829053838867396,0.974647352969471,0.3026141540298458
Deaths,Peru,Female,Age-standardized,Tuberculosis,High fasting plasma glucose,Rate,2019,0.29908442825071346,0.50383352350681,0.15266126512838546
Deaths,Peru,Both,Age-standardized,Tuberculosis,High fasting plasma glucose,Rate,2019,0.43547015840177716,0.7183574176304423,0.23089551725867696
Deaths,Guyana,Female,Age-standardized,Breast cancer,High fasting plasma glucose,Percent,1990,0.0987430322576988,0.2141613824080627,0.019894541005707766
Deaths,Guyana,Both,Age-standardized,Breast cancer,High fasting plasma glucose,Percent,1990,0.09797701995967883,0.21234562728053769,0.019821854035317304
Deaths,Guyana,Female,Age-standardized,Breast cancer,High fasting plasma glucose,Rate,1990,2.320105707301232,5.209361910096272,0.4713616150641847
Deaths,Guyana,Both,Age-standardized,Breast cancer,High fasting plasma glucose,Rate,1990,1.2235482607680237,2.7352366470007614,0.2491865745011764
Deaths,Guyana,Female,Age-standardized,Ovarian cancer,High fasting plasma glucose,Percent,1990,0.09992316101933166,0.22434449179493401,0.019958121341995216
Deaths,Guyana,Both,Age-standardized,Ovarian cancer,High fasting plasma glucose,Percent,1990,0.10087653304623664,0.22612394642704492,0.02017087255328085
Deaths,Guyana,Female,Age-standardized,Ovarian cancer,High fasting plasma glucose,Rate,1990,0.22281696136383497,0.5231985381654356,0.04307520395887575
Deaths,Guyana,Both,Age-standardized,Ovarian cancer,High fasting plasma glucose,Rate,1990,0.11696057743436207,0.2743727802797347,0.022597509797573644
