measure,location,sex,age,cause,rei,metric,year_start,year_end,val,upper,lower
Deaths,Bolivia (Plurinational State of),Male,Age-standardized,All causes,High fasting plasma glucose,Percent,1990,2019,0.8537277148225908,1.1741704915459594,0.5712129192471659
Deaths,Bolivia (Plurinational State of),Female,Age-standardized,All causes,High fasting plasma glucose,Percent,1990,2019,0.6572713084562765,0.949400646173117,0.4008075469431409
Deaths,Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Percent,1990,2019,0.7446292824650268,0.9620157091219932,0.5265312190437229
Deaths,Bolivia (Plurinational State of),Male,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2019,0.22124645804923843,0.6008278636352442,-0.09436111938875529
Deaths,Bolivia (Plurinational State of),Female,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2019,0.1290448937849609,0.4271139262663974,-0.11274501781748071
Deaths,Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2019,0.17201975802041927,0.4590346419306636,-0.08432012086493587
Deaths,Suriname,Male,Age-standardized,Bladder cancer,High fasting plasma glucose,Percent,1990,2019,0.46120489600076564,0.6578192244358145,0.34902504160885484
Deaths,Suriname,Female,Age-standardized,Bladder cancer,High fasting plasma glucose,Percent,1990,2019,0.508058013444741,0.7183015167430743,0.39954131317621133
Deaths,Suriname,Both,Age-standardized,Bladder cancer,High fasting plasma glucose,Percent,1990,2019,0.481018436400784,0.6610048316504139,0.37964857658395285
Deaths,Suriname,Male,Age-standardized,Bladder cancer,High fasting plasma glucose,Rate,1990,2019,0.6770897029230608,1.2254833948709467,0.3185349986798079
Deaths,Suriname,Female,Age-standardized,Bladder cancer,High fasting plasma glucose,Rate,1990,2019,0.665405785673482,1.1706852486315813,0.31198829739586803
Deaths,Suriname,Both,Age-standardized,Bladder cancer,High fasting plasma glucose,Rate,1990,2019,0.6611928556419985,1.1124299711101726,0.3505977193558738
Deaths,Chile,Male,Age-standardized,Liver cancer,High fasting plasma glucose,Percent,1990,2019,1.0249065185360018,1.5567006422174927,0.7227061417513851
Deaths,Chile,Female,Age-standardized,Liver cancer,High fasting plasma glucose,Percent,1990,2019,0.8474941023209176,1.2702273382553733,0.5631591149283676
Deaths,Chile,Both,Age-standardized,Liver cancer,High fasting plasma glucose,Percent,1990,2019,0.9241990357073936,1.2830354859701598,0.6959507014640282
Deaths,Chile,Male,Age-standardized,Liver cancer,High fasting plasma glucose,Rate,1990,2019,1.731574547344241,2.6486382776337853,1.1386769494564086
Deaths,Chile,Female,Age-standardized,Liver cancer,High fasting plasma glucose,Rate,1990,2019,1.5658798740234274,2.2653216101592917,1.0535038181775098
Deaths,Chile,Both,Age-standardized,Liver cancer,High fasting plasma glucose,Rate,1990,2019,1.631967041251498,2.2024718220505295,1.2308047129057818
Deaths,Venezuela (Bolivarian Republic of),Male,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,0.18015450662927476,0.2969037183564743,0.08668943953813997
Deaths,Venezuela (Bolivarian Republic of),Female,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,0.1281051812160445,0.23127567342459104,0.03207887620614725
Deaths,Venezuela (Bolivarian Republic of),Both,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,0.14581983178875788,0.23275612157298337,0.056416690508276024
Deaths,Venezuela (Bolivarian Republic of),Male,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Rate,1990,2019,0.23478690432377414,0.858119565742989,-0.23282676494514015
Deaths,Venezuela (Bolivarian Republic of),Female,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Rate,1990,2019,0.35596799753315295,0.8168302564948609,-0.15732607399284398
Deaths,Venezuela (Bolivarian Republic of),Both,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Rate,1990,2019,0.3118741498882191,0.7902612976811253,-0.12462296224325987
Deaths,Guyana,Male,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,0.32316661807401,0.4063455451031707,0.24333323115182692
Deaths,Guyana,Female,Age-standardized,Peripheral artery disease,High fasting plasma glucose,Percent,1990,2019,0.18851805744127897,0.27278971795933826,0.11776358077925984
