measure,location,sex,age,rei,metric,year,val,upper,lower
Summary exposure value,Chile,Both,Age-standardized,High fasting plasma glucose,Rate,1993,7.784156479781519,8.904229625248382,6.777079977138542
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,1991,6.65718408385239,7.55018778789147,5.86473135869818
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High fasting plasma glucose,Rate,1997,7.398659383516771,8.383680697408941,6.52640310392308
Summary exposure value,Uruguay,Both,Age-standardized,High fasting plasma glucose,Rate,1991,3.415139694105062,4.10974601787509,2.8569822353773278
Summary exposure value,Ecuador,Both,Age-standardized,High fasting plasma glucose,Rate,1993,7.29394350824162,8.3138113899328,6.416182946191561
Summary exposure value,Colombia,Both,Age-standardized,High fasting plasma glucose,Rate,1993,12.456889946863999,14.1426171817862,10.924319899350099
Summary exposure value,Chile,Both,Age-standardized,High fasting plasma glucose,Rate,1991,7.583750248436591,8.68946336098055,6.5788649076012895
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,1995,7.00474349197659,7.8635081145841195,6.18378049884776
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,1993,6.81719308326513,7.693491999165181,6.01547112295947
Summary exposure value,Ecuador,Both,Age-standardized,High fasting plasma glucose,Rate,1995,7.73104580893552,8.870747260100039,6.74651413521765
Summary exposure value,Colombia,Both,Age-standardized,High fasting plasma glucose,Rate,1995,12.826355194748501,14.7278377200104,11.1883387057173
Summary exposure value,Brazil,Both,Age-standardized,High fasting plasma glucose,Rate,1995,9.54290748739137,10.738366605316488,8.420976445755704
Summary exposure value,Suriname,Both,Age-standardized,High fasting plasma glucose,Rate,1995,14.5328981841235,16.4694094631637,12.6895875229735
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,1999,7.556751537332949,8.424130616809169,6.70984016414798
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,2005,7.9488832462111,8.86071120335185,7.024244582471679
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,2001,7.718711730350369,8.62404014907367,6.87638250414653
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,1997,7.26784070114537,8.14583786814173,6.4713187945831505
Summary exposure value,Brazil,Both,Age-standardized,High fasting plasma glucose,Rate,1993,9.635993317358905,10.788037042866144,8.514102163971222
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High fasting plasma glucose,Rate,1995,7.300086422307429,8.33735586001915,6.411801718978021
Summary exposure value,Uruguay,Both,Age-standardized,High fasting plasma glucose,Rate,2004,4.215865604999223,4.998200381013149,3.5312149135159587
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,2003,7.825659872951599,8.76463757272785,6.95869943958176
Summary exposure value,Suriname,Both,Age-standardized,High fasting plasma glucose,Rate,1991,13.3881187496616,15.127003466343304,11.690105805395099
Summary exposure value,Argentina,Both,Age-standardized,High fasting plasma glucose,Rate,2007,8.175903362977001,9.13612694894281,7.254403275179359
Summary exposure value,Guyana,Both,Age-standardized,High fasting plasma glucose,Rate,1991,15.7942140542838,17.8241600777117,13.905757463062898
Summary exposure value,Chile,Both,Age-standardized,High fasting plasma glucose,Rate,2006,11.714685852051522,13.09917596330687,10.32754812223374
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High fasting plasma glucose,Rate,1991,6.867743277266081,7.78262297661593,6.005021088368849
Summary exposure value,Uruguay,Both,Age-standardized,High fasting plasma glucose,Rate,2006,4.434807255723009,5.216774091528657,3.7180887586352434
Summary exposure value,Suriname,Both,Age-standardized,High fasting plasma glucose,Rate,1993,13.9947132967986,15.758442465543801,12.2993959123778
Summary exposure value,Guyana,Both,Age-standardized,High fasting plasma glucose,Rate,1993,16.6935940708553,18.435005897360103,14.866639116134401
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High fasting plasma glucose,Rate,1993,7.12159776487154,8.063701416955759,6.2802022611183395
Summary exposure value,Brazil,Both,Age-standardized,High fasting plasma glucose,Rate,1997,9.39773668675246,10.56066156449241,8.321830631141085
Summary exposure value,Suriname,Both,Age-standardized,High fasting plasma glucose,Rate,2006,18.0590176947858,19.9351404929983,16.1110159264049
Summary exposure value,Bolivia (Plurinational State of),Both,Age-standardized,High fasting plasma glucose,Rate,2006,8.92446888979532,10.2088522604798,7.6565011828993805
Summary exposure value,Ecuador,Both,Age-standardized,High fasting plasma glucose,Rate,1991,6.93038105461357,7.88693504016547,6.06320767331622
Summary exposure value,Guyana,Both,Age-standardized,High fasting plasma glucose,Rate,1995,17.495363382138198,19.4340448485512,15.622480487707403
Summary exposure value,Ecuador,Both,Age-standardized,High fasting plasma glucose,Rate,2004,10.6620351313669,11.9196725136112,9.460073120457011
