measure,location,sex,age,rei,metric,year,val,upper,lower
Summary exposure value,Argentine Republic,Both,Age-standardized,High fasting plasma glucose,Rate,2019,11.0402475095116,12.6409507647543,9.50069007781684
Summary exposure value,Republic of Guyana,Both,Age-standardized,High fasting plasma glucose,Rate,2019,23.152241716205303,25.213288593496696,21.1473176555981
Summary exposure value,Eastern Republic of Uruguay,Both,Age-standardized,High fasting plasma glucose,Rate,2019,8.348363195001477,9.545448119812264,7.2178954077762505
Summary exposure value,Republic of Peru,Both,Age-standardized,High fasting plasma glucose,Rate,2019,7.685464534193249,8.875834454447661,6.617786561641149
Summary exposure value,Bolivarian Republic of Venezuela,Both,Age-standardized,High fasting plasma glucose,Rate,2019,16.0897439494038,17.893820168139303,14.3294111480351
Summary exposure value,Republic of Paraguay,Both,Age-standardized,High fasting plasma glucose,Rate,2019,11.680231801800572,13.40353681466459,10.186942760622559
Summary exposure value,Republic of Ecuador,Both,Age-standardized,High fasting plasma glucose,Rate,2019,12.324181534689801,13.786901625459302,10.8861238803909
Summary exposure value,Republic of Colombia,Both,Age-standardized,High fasting plasma glucose,Rate,2019,14.9809329146623,16.749710095799404,13.2920803915768
Summary exposure value,Federative Republic of Brazil,Both,Age-standardized,High fasting plasma glucose,Rate,2019,11.419087019263573,12.785152236948042,10.108653875892132
Summary exposure value,Republic of Chile,Both,Age-standardized,High fasting plasma glucose,Rate,2019,13.605243061785291,15.327902092002468,11.962384074480688
Summary exposure value,Republic of Suriname,Both,Age-standardized,High fasting plasma glucose,Rate,2019,21.9278901599617,23.8941809402764,19.929001208398102
Summary exposure value,Plurinational State of Bolivia,Both,Age-standardized,High fasting plasma glucose,Rate,2019,10.668660166515801,12.2102839750123,9.18506839625827
