measure,location,sex,age,cause,rei,metric,year_start,year_end,val,upper,lower
Deaths,Peru,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.2155330159193727,0.5549246232827082,-0.0769187110691956
Deaths,Guyana,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.0478788872039285,0.3132242341025586,-0.1848833926139294
Deaths,Venezuela (Bolivarian Republic of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.3654983850924719,0.7283022918136451,0.0733557450699864
Deaths,Uruguay,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.003399229573617,0.1363212296845155,-0.1201561329725426
Deaths,Colombia,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,-0.2853057740614895,-0.1621352951284435,-0.3929801264688677
Deaths,Ecuador,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.360345132786143,0.6581035966776025,0.0736186084630364
Deaths,Brazil,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,-0.2225861634213779,-0.178398045881491,-0.2651660526165204
Deaths,Suriname,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.0152753785644767,0.2806270872118844,-0.20190903069563
Deaths,Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.1138402643790706,0.4691188881097736,-0.1089343111169081
Deaths,Paraguay,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.7513932538445122,1.1997567817297798,0.3642408430288761
Deaths,Argentina,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,-0.2392696530290629,-0.1720062321507125,-0.3031365573356318
Deaths,Chile,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,-0.1872168903980273,-0.0791433479974628,-0.2758355344757878
DALYs (Disability-Adjusted Life Years),Argentina,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,-0.061357152552641,0.0158483958066237,-0.129215653186267
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.067374356014757,0.174242993292617,-0.0399360238768975
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.229098036729715,0.3431213877750844,0.1082425106433554
DALYs (Disability-Adjusted Life Years),Guyana,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.1632289919538828,0.416247329099064,-0.039211237982902
DALYs (Disability-Adjusted Life Years),Suriname,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.2457655056549369,0.4739230096423124,0.0497738506453079
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.1728893338434647,0.4770662462518347,-0.0287044641871592
DALYs (Disability-Adjusted Life Years),Peru,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.2999107083388758,0.5893790150652793,0.0598509077696912
DALYs (Disability-Adjusted Life Years),Ecuador,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.5006090884503511,0.7663309345941525,0.2732609841669511
DALYs (Disability-Adjusted Life Years),Colombia,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,-0.1194308984532984,-0.0165470445970606,-0.2110796315883195
DALYs (Disability-Adjusted Life Years),Venezuela (Bolivarian Republic of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,1990,2021,0.4038499460228975,0.7084162509565354,0.1736726622433428
