measure,location,sex,age,rei,metric,year,val,upper,lower
Summary exposure value,Brazil,Both,Age-standardized,Smoking,Rate,1991,28.46199918162305,30.4751065908118,26.71899923454247
Summary exposure value,Brazil,Both,Age-standardized,High fasting plasma glucose,Rate,1991,12.594384676673819,14.34596441775486,9.629444306221
Summary exposure value,Brazil,Both,Age-standardized,High systolic blood pressure,Rate,1991,35.62532661943412,47.32464841314964,25.64533601422992
Summary exposure value,Brazil,Both,Age-standardized,High body-mass index,Rate,1991,18.34349772320498,21.971495704944648,15.90821857808411
Summary exposure value,Brazil,Both,Age-standardized,Diet low in fruits,Rate,1991,31.377098451355813,33.792479421703156,27.786476708254597
Summary exposure value,Brazil,Both,Age-standardized,Diet low in whole grains,Rate,1991,41.12121707499219,46.33718372021257,33.95934838477776
Summary exposure value,Brazil,Both,Age-standardized,Diet high in red meat,Rate,1991,36.19452292530984,50.92527092059023,1.3314170856534352e-06
Summary exposure value,Brazil,Both,Age-standardized,Diet high in processed meat,Rate,1991,9.316014130379969,10.14852324208071,7.56030079881002
Summary exposure value,Brazil,Both,Age-standardized,Diet high in sugar-sweetened beverages,Rate,1991,18.502219083451678,20.85473112920202,15.02507351756606
Summary exposure value,Brazil,Both,Age-standardized,Low physical activity,Rate,1991,23.66066250218165,28.09810866255325,19.42950640600356
Summary exposure value,Paraguay,Both,Age-standardized,Smoking,Rate,1994,21.97317167889529,24.245219797006108,20.156743057535202
Summary exposure value,Paraguay,Both,Age-standardized,High fasting plasma glucose,Rate,1994,9.87961273713338,11.56371226210839,7.46241046273644
Summary exposure value,Paraguay,Both,Age-standardized,High systolic blood pressure,Rate,1994,35.27572028242071,47.86118126931994,25.14904188869344
Summary exposure value,Paraguay,Both,Age-standardized,High body-mass index,Rate,1994,19.935687506967838,24.068316931006333,17.07467314580649
Summary exposure value,Paraguay,Both,Age-standardized,Diet low in fruits,Rate,1994,25.61625973825208,28.02537971383337,21.52003570332669
Summary exposure value,Paraguay,Both,Age-standardized,Diet low in whole grains,Rate,1994,38.21866109741442,43.24599362315033,31.80722528829632
Summary exposure value,Paraguay,Both,Age-standardized,Diet high in red meat,Rate,1994,56.97341726786185,76.33204947835867,0.0
Summary exposure value,Paraguay,Both,Age-standardized,Diet high in processed meat,Rate,1994,9.091466987572069,10.23913450755717,7.2485788110717095
Summary exposure value,Paraguay,Both,Age-standardized,Diet high in sugar-sweetened beverages,Rate,1994,12.55752231335495,15.502799501725201,10.001094328421601
Summary exposure value,Paraguay,Both,Age-standardized,Low physical activity,Rate,1994,14.35037260311501,18.252879994357098,10.837794091503559
Summary exposure value,Peru,Both,Age-standardized,Smoking,Rate,1994,6.62424711350811,7.405249582432879,5.82425666988562
Summary exposure value,Peru,Both,Age-standardized,High fasting plasma glucose,Rate,1994,6.07890146561627,7.17388221297059,4.61749083895603
Summary exposure value,Peru,Both,Age-standardized,High systolic blood pressure,Rate,1994,12.22373760282694,19.05169869047106,7.287164173223699
Summary exposure value,Peru,Both,Age-standardized,High body-mass index,Rate,1994,21.567492282940933,25.7186861285387,18.69486258971568
Summary exposure value,Peru,Both,Age-standardized,Diet low in fruits,Rate,1994,33.676599980146236,36.54382211636798,28.24947953248514
Summary exposure value,Peru,Both,Age-standardized,Diet low in whole grains,Rate,1994,35.52657532126438,39.698814363662386,29.05163783280784
Summary exposure value,Suriname,Both,Age-standardized,Smoking,Rate,1994,19.57592608995079,21.58277330126994,17.84543188239881
