measure,location,sex,age,cause,rei,metric,year,val,upper,lower
Deaths,Suriname,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,107.64064920474,134.38649887224,83.42345264029
Deaths,Argentina,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,52.399433296009995,63.060030896069996,42.59138857877
Deaths,Uruguay,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,48.102633219400005,59.65296491182,37.45293462457
Deaths,Guyana,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,193.54951042697002,241.28988664720998,152.58366142533
Deaths,Chile,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,40.03096671248,48.95119135533,31.795296970890004
Deaths,Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,105.37152820451999,137.41610321841,83.23326574279
Deaths,Venezuela (Bolivarian Republic of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,95.83972926959,121.87684631892999,74.20332758025
Deaths,Peru,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,46.57811135854,60.36321427621999,35.30141126617
Deaths,Colombia,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,40.662517895760004,49.88590582603,32.01347978475
Deaths,Ecuador,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,78.73799092689,98.89236106765001,62.12056649381
Deaths,Brazil,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,62.33429864983,71.31832283534,54.17306587076
Deaths,Paraguay,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,102.50604678806,126.99667391708,80.53845335748001
DALYs (Disability-Adjusted Life Years),Uruguay,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,1369.30387875267,1650.75147901556,1112.22437458022
DALYs (Disability-Adjusted Life Years),Argentina,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,1483.18069251605,1745.31181545323,1232.44528527021
DALYs (Disability-Adjusted Life Years),Chile,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,1289.06194756529,1556.60334179773,1044.20270435623
DALYs (Disability-Adjusted Life Years),Guyana,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,5871.67550109792,7213.81631140986,4773.1512022386405
DALYs (Disability-Adjusted Life Years),Colombia,Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,1407.89274194824,1707.95541722178,1140.13677679762
DALYs (Disability-Adjusted Life Years),Bolivia (Plurinational State of),Both,Age-standardized,All causes,High fasting plasma glucose,Rate,2021,2709.46786634755,3426.7709615596305,2164.92600926232
